Bucketed Score,Intersection,Lat,Long,Raw Score,Accidents,Traffic
10.0,12th Avenue & West 132nd Street,40.8193827,-73.9593299,0.0397,44,1107
10.0,Broadway & West 168th Street,40.8410581,-73.9397145,0.0397,92,2315
10.0,East 127th Street & Park Avenue,40.8063,-73.9379572,0.0396,26,657
10.0,Wadsworth Avenue & West 187th Street,40.853582,-73.932228,0.0393,26,662
10.0,Malcolm X Boulevard & West 127th Street,40.8091051,-73.9446164,0.0392,73,1860
10.0,N/A,40.8765657,-73.9240191,0.0392,35,893
10.0,Fort Washington Avenue & West 164th Street,40.839174,-73.943465,0.039,37,949
10.0,Audubon Avenue & West 171st Street,40.842314,-73.937028,0.0388,14,361
10.0,Fort Washington Avenue & West 163rd Street,40.8384634,-73.9437512,0.0385,29,753
10.0,Broadway & West 150th Street,40.8295736,-73.9480915,0.0384,62,1614
10.0,Broome Street & Clinton Street,40.716899,-73.9862,0.0383,13,339
10.0,Morningside Avenue & West 114th Street,40.803894,-73.958204,0.038,3,79
10.0,Overlook Terrace & West 187th Street,40.8549175,-73.9360462,0.0377,22,584
10.0,Ellwood Street & Nagle Avenue,40.860242,-73.92842,0.0374,34,908
10.0,Adam Clayton Powell Jr. Boulevard & West 146th Street,40.8222816,-73.9385175,0.0373,35,939
10.0,Macombs Place & West 151st Street,40.826334,-73.938459,0.0372,13,349
10.0,10th Avenue & West 207th Street,40.864463,-73.918943,0.037,139,3753
10.0,Audubon Avenue,40.8387426,-73.9396505,0.037,3,81
10.0,Audubon Avenue & West 166th Street,40.839296,-73.939239,0.0368,13,353
10.0,10th Avenue & Post Avenue,40.865109,-73.918447,0.0365,16,438
10.0,Water Street,40.7097946,-73.9960795,0.0365,12,329
10.0,Wadsworth Avenue & West 190th Street,40.8554227,-73.9308767,0.0361,9,249
10.0,FDR Drive,40.7580302,-73.9591055,0.036,57,1582
10.0,Frederick Douglass Boulevard & West 151st Street,40.826626,-73.939149,0.0358,23,642
10.0,Bennett Avenue & West 187th Street,40.854501,-73.934627,0.0358,20,559
10.0,Broadway & West 162nd Street,40.837168,-73.9425447,0.0356,51,1432
10.0,Haven Avenue,40.843193,-73.942944,0.0356,10,281
10.0,Saint Nicholas Avenue & West 182nd Street,40.849895,-73.93331,0.0354,46,1300
10.0,Adam Clayton Powell Jr. Boulevard & West 147th Street,40.8229045,-73.9380641,0.0353,39,1105
10.0,Audubon Avenue & West 181st Street,40.848735,-73.932337,0.0352,63,1790
10.0,Broadway & West 187th Street,40.8541572,-73.9337034,0.0352,60,1706
10.0,Broadway & West 161st Street,40.8365346,-73.9430023,0.0351,63,1794
10.0,Adam Clayton Powell Jr. Boulevard & West 133rd Street,40.8139879,-73.9445752,0.035,49,1400
10.0,Saint Nicholas Avenue & West 184th Street,40.851095,-73.932433,0.035,37,1058
10.0,Cabrini Boulevard & Chittenden Avenue,40.8556043,-73.9379223,0.035,10,286
10.0,10th Avenue & West 203rd Street,40.861936,-73.920774,0.0348,10,287
10.0,5th Avenue & West 139th Street,40.815326,-73.935756,0.0348,61,1753
10.0,Saint Nicholas Avenue & West 187th Street,40.853062,-73.930996,0.0348,26,748
10.0,Saint Nicholas Avenue & West 186th Street,40.85238,-73.931495,0.0346,29,839
