PARSED_DATE,BRONX,BROOKLYN,MANHATTAN,QUEENS,STATEN ISLAND
2013-09-19,52,104,134,91,15
2013-09-20,69,124,132,143,19
2013-09-21,47,129,118,96,19
2013-09-22,41,116,119,129,23
2013-09-23,78,151,135,124,25
2013-09-24,54,121,131,116,25
2013-09-25,59,105,109,108,30
2013-09-26,61,105,110,96,19
2013-09-27,53,117,109,118,26
2013-09-28,43,109,130,107,21
2013-09-29,50,108,105,108,12
2013-09-30,55,140,117,116,16
2013-10-01,62,150,123,101,23
2013-10-02,47,161,133,117,30
2013-10-03,53,133,129,120,25
2013-10-04,69,139,148,145,20
2013-10-05,50,114,112,98,11
2013-10-06,36,87,78,90,12
2013-10-07,58,150,121,124,24
2013-10-08,53,121,116,114,19
2013-10-09,42,134,105,103,16
2013-10-10,41,120,122,117,24
2013-10-11,48,142,158,104,21
2013-10-12,51,125,114,118,14
2013-10-13,40,113,101,98,13
2013-10-14,47,106,74,97,10
2013-10-15,66,151,118,110,15
2013-10-16,48,134,131,106,13
2013-10-17,69,126,114,99,19
2013-10-18,64,152,147,128,26
2013-10-19,43,106,112,87,18
2013-10-20,44,95,111,95,18
2013-10-21,57,136,115,140,24
2013-10-22,48,155,101,96,16
2013-10-23,49,122,131,118,23
2013-10-24,46,145,152,121,26
2013-10-25,53,151,124,129,20
2013-10-26,51,130,123,132,16
2013-10-27,52,105,98,107,15
2013-10-28,57,131,126,134,28
2013-10-29,48,129,118,118,26
2013-10-30,39,123,124,119,16
2013-10-31,49,136,124,117,28
2013-11-01,52,162,164,128,35
2013-11-02,50,115,115,115,17
2013-11-03,37,110,88,73,12
2013-11-04,68,154,107,152,28
2013-11-05,41,124,116,90,19
2013-11-06,48,149,135,111,25
2013-11-07,70,145,118,137,24
2013-11-08,56,138,139,153,29
2013-11-09,45,125,138,104,22
2013-11-10,39,119,102,96,15
2013-11-11,38,109,104,99,16
2013-11-12,73,136,136,128,24
2013-11-13,65,139,112,100,17
2013-11-14,63,148,134,108,15
2013-11-15,54,111,147,130,18
2013-11-16,58,127,111,131,31
2013-11-17,42,119,88,95,20
2013-11-18,60,162,111,116,18
2013-11-19,62,154,119,104,17
2013-11-20,53,133,116,119,24
2013-11-21,40,139,140,128,15
2013-11-22,62,149,161,145,17
2013-11-23,49,108,116,123,17
2013-11-24,42,118,99,105,15
2013-11-25,70,174,131,136,23
2013-11-26,73,191,204,161,27
2013-11-27,62,182,122,159,25
2013-11-28,48,95,70,89,14
2013-11-29,43,102,83,98,11
2013-11-30,47,119,96,99,17
2013-12-01,34,89,84,92,8
2013-12-02,56,129,111,101,18
2013-12-03,62,112,125,103,16
2013-12-04,35,138,114,78,21
2013-12-05,55,134,111,115,17
2013-12-06,69,158,170,161,31
2013-12-07,48,137,117,108,20
2013-12-08,31,113,95,99,12
2013-12-09,57,141,114,134,18
2013-12-10,41,123,109,98,53
2013-12-11,60,133,131,127,26
2013-12-12,55,132,149,132,25
2013-12-13,65,136,156,133,24
2013-12-14,65,184,124,153,24
2013-12-15,48,101,94,104,10
2013-12-16,59,147,139,103,22
2013-12-17,66,192,114,169,39
2013-12-18,54,160,141,155,23
2013-12-19,53,161,119,117,18
2013-12-20,55,157,129,125,29
2013-12-21,72,117,95,137,21
2013-12-22,46,110,109,100,15
2013-12-23,64,183,134,123,33
2013-12-24,50,133,81,111,19
2013-12-25,28,66,38,64,8
2013-12-26,40,98,84,84,14
2013-12-27,50,111,101,94,13
2013-12-28,55,92,103,81,12
2013-12-29,39,105,74,77,12
2013-12-30,54,116,98,96,12
2013-12-31,59,117,90,91,13
2014-01-01,37,92,76,89,17
2014-01-02,55,153,91,117,34
2014-01-03,57,93,69,82,17
2014-01-04,40,103,58,88,14
2014-01-05,26,74,43,81,15
2014-01-06,47,144,97,87,17
2014-01-07,44,112,91,100,16
2014-01-08,49,143,99,150,23
2014-01-09,57,114,120,112,26
2014-01-10,74,154,138,143,22
2014-01-11,51,107,90,107,14
2014-01-12,24,112,78,74,10
2014-01-13,62,158,91,113,15
2014-01-14,55,120,115,127,16
2014-01-15,76,118,131,102,28
2014-01-16,37,123,132,93,14
