Bucketed Score,Intersection,Lat,Long,Score,Accidents,Traffic
10.0,Saint Nicholas Avenue & West 181st Street,40.849321,-73.933731,106.03,16,1509
10.0,Wadsworth Avenue & West 187th Street,40.853582,-73.932228,105.74,7,662
10.0,Riverside Drive,40.838058,-73.94664,105.45,6,569
10.0,Saint Nicholas Avenue & Wadsworth Avenue,40.856606,-73.928411,105.26,2,190
10.0,Audubon Avenue & West 177th Street,40.846141,-73.934232,105.26,3,285
10.0,Malcolm X Boulevard & West 128th Street,40.8097268,-73.9441642,104.92,13,1239
10.0,Adam Clayton Powell Jr. Boulevard & West 139th Street,40.8178222,-73.9417656,104.59,13,1243
10.0,Cabrini Boulevard & West 190th Street,40.8573519,-73.936584,104.53,3,287
10.0,Amsterdam Avenue & West 153rd Street,40.8302699,-73.9439142,103.73,5,482
10.0,Hamilton Place & West 141st Street,40.8231195,-73.9504964,103.73,5,482
10.0,Ellwood Street,40.8621541,-73.9296507,102.56,2,195
10.0,Adam Clayton Powell Jr. Boulevard & West 129th Street,40.8115415,-73.9465501,101.66,11,1082
10.0,Jumel Terrace & West 160th Street,40.834156,-73.9392421,101.01,1,99
10.0,Frederick Douglass Boulevard & West 144th Street,40.822164,-73.942411,100.93,12,1189
10.0,Broadway & Dongan Place,40.8634187,-73.9300194,99.67,9,903
10.0,10th Avenue & 9th Avenue,40.8608339,-73.9215645,99.5,2,201
10.0,12th Avenue & West 132nd Street,40.8193827,-73.9593299,99.37,11,1107
10.0,Broadway & West 168th Street,40.8410581,-73.9397145,99.35,23,2315
10.0,Ellwood Street & Nagle Avenue,40.860242,-73.92842,99.12,9,908
10.0,Fort George Avenue & Fort George Hill,40.8568009,-73.928266,97.8,4,409
10.0,Dyckman Street & Post Avenue,40.862582,-73.925373,97.45,21,2155
10.0,3rd Avenue & East 124th Street,40.803024,-73.93631,97.09,41,4223
10.0,Amsterdam Avenue,40.8435645,-73.9342023,96.77,3,310
10.0,Saint Nicholas Avenue & West 154th Street,40.83016,-73.941667,96.46,3,311
10.0,Bogardus Place & Ellwood Street,40.859545,-73.927977,96.39,4,415
10.0,Amsterdam Avenue & Laurel Hill Terrace,40.852484,-73.9276854,96.15,6,624
10.0,Broadway & Saint Nicholas Avenue,40.8416657,-73.9392736,94.48,13,1376
10.0,Broadway & West 141st Street,40.8238602,-73.9522576,94.34,9,954
10.0,East 126th Street & Lexington Avenue,40.8050469,-73.9369273,93.46,18,1926
10.0,Frederick Douglass Boulevard & West 143rd Street,40.821542,-73.942865,93.3,11,1179
10.0,Frederick Douglass Boulevard & West 149th Street,40.825379,-73.940054,93.02,10,1075
10.0,Fort Washington Avenue & West 163rd Street,40.8384634,-73.9437512,92.96,7,753
10.0,10th Avenue & Nagle Avenue,40.863121,-73.9206112,92.23,21,2277
10.0,Henry Street & Market Street,40.713021,-73.994459,91.94,21,2284
10.0,Fairview Avenue & Wadsworth Terrace,40.8573705,-73.9297743,91.74,2,218
10.0,Amsterdam Avenue & Hamilton Place,40.8245499,-73.9480922,91.67,12,1309
10.0,Amsterdam Avenue,40.8322331,-73.9424802,91.46,3,328
10.0,Amsterdam Avenue & West 138th Street,40.8208228,-73.9508143,90.74,10,1102
10.0,2nd Avenue & East 59th Street,40.7606332,-73.9643309,90.44,118,13047
10.0,10th Avenue & Isham Street,40.8655852,-73.9181211,90.29,4,443
10.0,Saint Nicholas Avenue & West 163rd Street,40.8369643,-73.9401714,88.5,2,226
10.0,145th Street Bridge & Esplanade Gardens Plaza,40.8204537,-73.9362503,88.47,38,4295
10.0,Amsterdam Avenue,40.8498909,-73.9295801,87.34,2,229
10.0,Broadway & West 181st Street,40.8501764,-73.9357231,86.88,28,3223
10.0,Malcolm X Boulevard,40.8197562,-73.9366544,86.48,11,1272
10.0,Amsterdam Avenue & West 161st Street,40.8353595,-73.9401964,85.94,11,1280
10.0,Academy Street & Sherman Avenue,40.864403,-73.923767,85.47,7,819
10.0,Wadsworth Avenue,40.856077,-73.9304068,85.47,1,117
10.0,Saint Nicholas Avenue & West 185th Street,40.851696,-73.931995,85.38,8,937
10.0,10th Avenue,40.867026,-73.917044,85.32,5,586
10.0,Adam Clayton Powell Jr. Boulevard & West 146th Street,40.8222816,-73.9385175,85.2,8,939
10.0,Pinehurst Avenue & West 185th Street,40.853537,-73.938378,85.11,6,705
10.0,Fort Washington Avenue & West 164th Street,40.839174,-73.943465,84.3,8,949
10.0,Edgecombe Avenue,40.836469,-73.937023,84.03,2,238
10.0,Audubon Avenue & West 182nd Street,40.849309,-73.931917,83.93,7,834
10.0,Audubon Avenue & West 171st Street,40.842314,-73.937028,83.1,3,361
10.0,Frederick Douglass Boulevard & West 152nd Street,40.827251,-73.938692,82.82,4,483
10.0,Amsterdam Avenue & West 139th Street,40.8214395,-73.9503639,81.87,7,855
10.0,Broadway & West 145th Street,40.8264178,-73.9503944,80.47,37,4598
10.0,Saint Nicholas Avenue & West 187th Street,40.853062,-73.930996,80.21,6,748
